ISO3,Year,gdp_growth_2030,poverty_2030,resilience_2030,scenario
HRV,2030,1.4896595680653684e-05,0.4000000000000039,0.28216569468289004,social_spending
IND,2030,1.514060863644146e-05,4.781079761904765,-0.13892811210505715,social_spending
IRN,2030,1.5117244447950068e-05,2.7586167328042435,-0.5072445652992376,social_spending
IRQ,2030,1.5635271837579487e-05,0.6999999999999927,-0.2702879581940306,social_spending
ISR,2030,1.5216157319695085e-05,0.5999166666666703,0.8946763567271115,social_spending
ITA,2030,1.4744425354933025e-05,0.5999166666666703,1.0507740426652894,social_spending
JPN,2030,1.5116869858598817e-05,1.0998333333333457,0.12691678714496538,social_spending
LKA,2030,1.5090239296660894e-05,2.5097419973545003,-0.14025024095659766,social_spending
PAK,2030,1.512854276190631e-05,15.752329761904784,-0.43720048592913835,social_spending
PRT,2030,1.4879629842938575e-05,0.20000000000000195,0.4922062532002074,social_spending
RUS,2030,1.5041462024121546e-05,0.20000000000000195,0.6127671098009131,social_spending
SAU,2030,1.5247467047884139e-05,0.6999999999999927,0.5799739578627121,social_spending
SWE,2030,1.4864416335257062e-05,1.2062500000000065,0.8919525039406402,social_spending
USA,2030,1.4888807127655005e-05,1.0998333333333457,0.7916451303501859,social_spending
AFG,2030,3.9132755250603514e-06,0.8000000000000078,-0.37407747695852606,trade_diversification
ARG,2030,1.0628397053506692e-09,1.2008333333333407,-0.04985300021768229,trade_diversification
AUS,2030,3.504041005154543e-06,0.5000833333333333,0.7182975199040139,trade_diversification
BEL,2030,1.1677130857940608e-06,0.0,1.5419599503779922,trade_diversification
BGD,2030,6.540993330716741e-06,25.415974206349365,-0.3280285627691939,trade_diversification
CAN,2030,1.5257456394298903e-06,0.20000000000000195,0.7853776409171351,trade_diversification
CHN,2030,5.437260891652679e-06,0.0,1.0728986978303872,trade_diversification
DEU,2030,1.1890477588628886e-09,0.20000000000000195,1.6849079580593989,trade_diversification
ESP,2030,2.675896812524841e-06,0.8000000000000078,0.9764153773435105,trade_diversification
FRA,2030,9.452683776728221e-07,0.10000000000000098,1.4992088397186858,trade_diversification
GBR,2030,3.970704315496896e-07,0.5000833333333333,1.2655797861259124,trade_diversification
HRV,2030,3.3101128320650575e-06,0.4000000000000039,0.28169357787917937,trade_diversification
IND,2030,9.229013241139995e-06,5.114590873015882,-0.13879963329417797,trade_diversification
IRN,2030,3.783245611423389e-06,2.7954899470899583,-0.5063718443470574,trade_diversification
IRQ,2030,1.5000822425498316e-05,0.8000000000000078,-0.27027016505526974,trade_diversification
ISR,2030,1.8104113326831372e-06,0.6999999999999927,0.8944557948464453,trade_diversification
ITA,2030,7.224427462526156e-07,0.6999999999999927,1.0500778889349796,trade_diversification
JPN,2030,1.4676996889111365e-06,1.2010000000000072,0.12718125583566753,trade_diversification
LKA,2030,1.0628397053506692e-09,2.708297486772501,-0.14030330160738125,trade_diversification
PAK,2030,1.0628397053506692e-09,16.338737301587308,-0.43721333945764634,trade_diversification
PRT,2030,2.6060170309400802e-06,0.20000000000000195,0.49257342775820284,trade_diversification
RUS,2030,5.850788239014362e-06,0.20000000000000195,0.6128018941447582,trade_diversification
SAU,2030,5.230872097289895e-07,0.8000000000000078,0.5797708408632244,trade_diversification
SWE,2030,1.1890477588628886e-09,1.3036333333333245,0.8920958806461611,trade_diversification
USA,2030,2.88468380669505e-06,1.204701388888895,0.7916923816879969,trade_diversification
AFG,2030,7.349826820799674e-08,0.8000000000000078,-0.37403202275533953,global_crisis
ARG,2030,1.0628397053506692e-09,1.2010833333333406,-0.04975651592504052,global_crisis
AUS,2030,7.450978591619565e-08,0.5000833333333333,0.7185325241207543,global_crisis
BEL,2030,6.27702753526458e-08,0.0,1.541392535239894,global_crisis
BGD,2030,7.229962526186268e-08,25.38441904761921,-0.32835055608264807,global_crisis
CAN,2030,7.39197478943497e-08,0.20000000000000195,0.7856206644706425,global_crisis
CHN,2030,7.230273028983592e-08,0.0,1.0731659864662717,global_crisis
DEU,2030,1.1890477588628886e-09,0.20000000000000195,1.679155650146988,global_crisis
ESP,2030,7.27977829914455e-08,0.8000000000000078,0.9777108014271231,global_crisis
FRA,2030,7.303969298091505e-08,0.10000000000000098,1.49662770699678,global_crisis
GBR,2030,6.143901610586574e-08,0.5000833333333333,1.2659410214802689,global_crisis
HRV,2030,7.348630440760246e-08,0.4000000000000039,0.28198577916829715,global_crisis
IND,2030,7.229962526186268e-08,5.006150396825403,-0.13914217317751482,global_crisis
IRN,2030,7.269947455163545e-08,2.7953996693121805,-0.5061588725992183,global_crisis
IRQ,2030,7.394372357451904e-08,0.8000000000000078,-0.27058555088702185,global_crisis
ISR,2030,7.426772095835426e-08,0.6999999999999927,0.894457929571303,global_crisis
ITA,2030,7.305034254604674e-08,0.6999999999999927,1.0488477124068905,global_crisis
JPN,2030,7.42209656893503e-08,1.2008333333333405,0.12718568341315012,global_crisis
LKA,2030,1.0628397053506692e-09,2.7068189153439297,-0.14036634187725266,global_crisis
PAK,2030,1.0628397053506692e-09,16.339853968253966,-0.4372588262903723,global_crisis
PRT,2030,7.347595506680919e-08,0.20000000000000195,0.49221197591940247,global_crisis
RUS,2030,7.250281799790762e-08,0.20000000000000195,0.6139865873768893,global_crisis
SAU,2030,7.432305640833734e-08,0.8000000000000078,0.579706377443448,global_crisis
SWE,2030,1.1890477588628886e-09,1.3012166666666596,0.8918766892061444,global_crisis
USA,2030,7.357984295917472e-08,1.204618055555562,0.7918363482351893,global_crisis
